Time,parking_lot,Empty_spaces,Occupied_spaces
2024-07-05 22:28:34.462325,A,33,22
2024-07-05 22:41:59.078538,A,3,8
2024-07-05 22:41:59.324933,A,3,7
2024-07-05 22:41:59.514774,A,3,8
2024-07-05 22:41:59.703252,A,3,9
2024-07-05 22:41:59.882287,A,3,8
2024-07-05 22:42:00.062331,A,3,9
2024-07-05 22:42:00.263757,A,3,9
2024-07-05 22:42:00.456129,A,3,9
2024-07-05 22:42:00.646330,A,3,8
2024-07-05 22:42:00.827403,A,3,7
2024-07-05 22:42:01.015808,A,3,9
2024-07-05 22:42:01.219051,A,3,8
2024-07-05 22:42:01.404008,A,3,7
2024-07-05 22:42:01.591598,A,3,7
2024-07-05 22:42:01.775412,A,3,6
2024-07-05 22:42:01.947813,A,3,6
2024-07-05 22:42:02.120573,A,3,6
2024-07-05 22:42:02.297589,A,3,6
2024-07-05 22:42:02.482441,A,3,6
2024-07-05 22:42:02.654362,A,3,6
2024-07-05 22:42:02.828890,A,3,6
2024-07-05 22:42:03.015771,A,3,6
2024-07-05 22:42:03.196231,A,3,5
2024-07-05 22:42:03.376064,A,3,5
2024-07-05 22:42:03.562379,A,3,5
2024-07-05 22:42:03.754853,A,3,5
2024-07-05 22:42:03.930574,A,3,6
2024-07-05 22:42:04.103474,A,3,7
2024-07-05 22:42:04.272546,A,3,5
2024-07-05 22:42:04.442341,A,3,4
2024-07-05 22:42:04.626351,A,3,4
2024-07-05 22:42:04.801600,A,3,4
2024-07-05 22:42:04.973852,A,3,4
2024-07-05 22:42:05.147003,A,3,4
2024-07-05 22:42:05.312488,A,3,5
2024-07-05 22:42:05.488105,A,2,6
2024-07-05 22:42:05.689626,A,2,4
2024-07-05 22:42:05.898417,A,2,4
2024-07-05 22:42:06.104775,A,2,4
2024-07-05 22:42:06.318139,A,2,6
2024-07-05 22:42:06.497920,A,2,6
2024-07-05 22:42:06.692697,A,2,5
2024-07-05 22:42:06.881583,A,2,6
2024-07-05 22:42:07.052270,A,2,5
2024-07-05 22:42:07.222534,A,2,6
2024-07-05 22:42:07.396232,A,2,5
2024-07-05 22:42:07.593741,A,2,6
2024-07-05 22:42:07.813274,A,2,4
2024-07-05 22:42:08.002423,A,3,6
2024-07-05 22:42:08.181752,A,3,6
2024-07-05 22:42:08.354367,A,2,4
2024-07-05 22:42:08.533899,A,4,4
2024-07-05 22:42:08.712040,A,4,3
2024-07-05 22:42:08.880089,A,4,3
2024-07-05 22:42:09.066647,A,3,3
2024-07-05 22:42:09.243673,A,3,4
2024-07-05 22:42:09.411707,A,3,3
2024-07-05 22:42:09.587370,A,3,3
2024-07-05 22:42:09.753594,A,4,3
2024-07-05 22:42:09.929311,A,4,3
2024-07-05 22:42:10.106869,A,4,3
2024-07-05 22:42:10.282393,A,4,3
2024-07-05 22:42:10.455592,A,4,3
2024-07-05 22:42:10.632344,A,4,3
2024-07-05 22:42:10.814095,A,4,3
2024-07-05 22:42:10.984925,A,4,3
2024-07-05 22:42:11.156543,A,4,3
2024-07-05 22:42:11.336184,A,4,3
2024-07-05 22:42:11.518029,A,4,3
2024-07-05 22:42:11.713073,A,4,3
2024-07-05 22:42:11.900374,A,4,3
2024-07-05 22:42:12.068550,A,4,3
2024-07-05 22:42:12.270058,A,4,3
2024-07-05 22:42:12.448284,A,4,3
2024-07-05 22:42:12.631599,A,4,3
2024-07-05 22:42:12.801704,A,4,3
2024-07-05 22:42:12.982314,A,4,3
2024-07-05 22:42:13.166145,A,4,4
